iter	Passed	Remaining
0	0	699
1	1	577
2	1	529
3	1	477
4	2	437
5	2	418
6	2	401
7	3	383
8	3	371
9	3	364
10	4	359
11	4	352
12	4	346
13	4	346
14	5	352
15	5	349
16	5	346
17	6	342
18	6	340
19	6	337
20	7	336
21	7	332
22	7	329
23	8	327
24	8	324
25	8	320
26	8	317
27	9	318
28	9	318
29	9	316
30	10	314
31	10	314
32	10	313
33	11	312
34	11	311
35	11	311
36	12	314
37	12	317
38	12	315
39	13	318
40	13	319
41	14	320
42	14	322
43	14	320
44	15	320
45	15	319
46	15	318
47	15	316
48	16	315
49	16	314
50	16	312
51	17	310
52	17	309
53	17	308
54	17	307
55	18	306
56	18	304
57	18	303
58	18	301
59	19	300
60	19	298
61	19	297
62	19	296
63	20	295
64	20	295
65	20	293
66	21	292
67	21	291
68	21	290
69	21	289
70	22	288
71	22	287
72	22	286
73	22	285
74	23	284
75	23	282
76	23	281
77	23	280
78	24	280
79	24	278
80	24	277
81	24	277
82	24	274
83	25	273
84	25	273
85	25	272
86	25	271
87	26	271
88	26	270
89	26	269
90	26	269
91	27	268
92	27	268
93	27	267
94	27	266
95	28	265
96	28	264
97	28	264
98	28	263
99	29	262
100	29	261
101	29	261
102	29	260
103	30	259
104	30	259
105	30	259
106	31	258
107	31	258
108	31	257
109	31	256
110	31	255
111	32	255
112	32	255
113	32	254
114	33	253
115	33	253
116	33	252
117	33	251
118	33	251
119	34	250
120	34	250
121	34	249
122	34	248
123	35	248
124	35	247
125	35	247
126	35	246
127	36	245
128	36	245
129	36	245
130	36	244
131	37	243
132	37	243
133	37	242
134	37	242
135	38	241
136	38	241
137	38	241
138	38	240
139	39	240
140	39	239
141	39	238
142	39	237
143	39	237
144	40	236
145	40	236
146	40	236
147	40	235
148	41	235
149	41	234
150	41	234
151	41	234
152	42	233
153	42	233
154	42	232
155	42	232
156	43	232
157	43	231
158	43	231
159	44	231
160	44	229
161	44	229
162	44	229
163	44	228
164	45	228
165	45	228
166	45	227
167	45	227
168	46	227
169	46	226
170	46	226
171	47	226
172	47	226
173	47	225
174	47	225
175	48	224
176	48	224
177	48	224
178	48	224
179	49	224
180	49	223
181	49	223
182	49	223
183	50	222
184	50	222
185	50	221
186	50	221
187	51	221
188	51	221
189	51	220
190	52	220
191	52	219
192	52	219
193	52	219
194	53	219
195	53	218
196	53	218
197	53	218
198	54	217
199	54	217
200	54	217
201	54	216
202	55	216
203	55	216
204	55	216
205	56	215
206	56	215
207	56	215
208	56	214
209	56	214
210	57	214
211	57	214
212	57	213
213	58	213
214	58	213
215	58	212
216	58	212
217	59	212
218	59	211
219	59	211
220	60	211
221	60	211
222	60	211
223	61	211
224	61	211
225	61	211
226	62	212
227	62	212
228	62	211
229	63	211
230	63	211
231	63	211
232	64	210
233	64	210
234	64	210
235	64	210
236	65	210
237	65	209
238	65	209
239	66	209
240	66	209
241	66	209
242	67	209
243	67	209
244	68	209
245	68	209
246	68	209
247	68	208
248	69	208
249	69	208
250	69	207
251	69	207
252	70	207
253	70	206
254	70	206
255	70	206
256	71	206
257	71	206
258	71	205
259	72	205
260	72	205
261	72	204
262	73	204
263	73	204
264	73	204
265	73	203
266	74	203
267	74	203
268	74	202
269	74	202
270	75	202
271	75	202
272	75	201
273	76	201
274	76	201
275	76	201
276	77	201
277	77	201
278	77	200
279	78	200
280	78	200
281	78	200
282	78	199
283	79	199
284	79	199
285	79	199
286	80	199
287	80	199
288	81	199
289	81	199
290	81	199
291	82	198
292	82	198
293	82	198
294	82	198
295	83	197
296	83	197
297	83	197
298	84	197
299	84	196
300	84	196
301	84	196
302	85	195
303	85	195
304	85	195
305	85	194
306	86	194
307	86	194
308	86	193
309	86	193
310	87	193
311	87	192
312	87	192
313	87	192
314	88	192
315	88	192
316	89	192
317	89	192
318	89	191
319	90	191
320	90	191
321	90	191
322	91	190
323	91	190
324	91	190
325	92	190
326	92	190
327	92	190
328	93	190
329	93	189
330	93	189
331	93	188
332	94	188
333	94	188
334	94	188
335	94	187
336	95	187
337	95	187
338	95	186
339	95	186
340	96	185
341	96	185
342	96	185
343	96	184
344	97	184
345	97	184
346	97	184
347	98	183
348	98	183
349	98	182
350	98	182
351	99	182
352	99	182
353	99	181
354	99	181
355	100	181
356	100	180
357	100	180
358	100	180
359	101	179
360	101	179
361	101	179
362	101	178
363	102	178
364	102	178
365	102	177
366	102	177
367	103	177
368	103	177
369	103	176
370	104	176
371	104	176
372	104	176
373	105	175
374	105	175
375	105	175
376	105	175
377	106	174
378	106	174
379	106	174
380	107	174
381	107	173
382	107	173
383	108	173
384	108	173
385	108	172
386	109	172
387	109	172
388	109	172
389	109	171
390	110	171
391	110	171
392	110	171
393	111	171
394	111	170
395	111	170
396	112	170
397	112	169
398	112	169
399	113	169
400	113	169
401	113	169
402	114	169
403	114	169
404	114	168
405	115	168
406	115	167
407	115	167
408	115	167
409	115	166
410	116	166
411	116	166
412	116	166
413	117	165
414	117	165
415	117	165
416	117	164
417	118	164
418	118	164
419	118	164
420	119	164
421	119	164
422	120	163
423	120	163
424	120	163
425	120	163
426	121	162
427	121	162
428	122	162
429	122	162
430	122	162
431	123	161
432	123	161
433	123	161
434	123	160
435	124	160
436	124	160
437	124	160
438	125	159
439	125	159
440	125	159
441	125	158
442	126	158
443	126	158
444	126	158
445	127	157
446	127	157
447	127	157
